k,cant_veces_que_gano,%gap
1,0.125000,6.944900
4,2.267857,2.981052
5,0.267857,1.959306
6,0.767857,1.458007
7,2.767857,0.226878
10,2.101190,-0.546610
12,7.601190,-0.782132
15,11.101190,0.000000
