k,cant_veces_que_gano,%gap
1,0.333333,16.140347
4,2.142857,4.243907
5,2.392857,2.660384
6,2.392857,4.135627
7,1.142857,0.817934
10,2.392857,4.140087
12,8.476190,0.000000
15,7.726190,0.525855
